"","p","pos","u","sim","target_fdr","method","empirical_fdr","power","n_selected"
"65124",200,100,0,24,0.2,"Zinck",0.423076923076923,0.5,26
"65125",200,100,0,25,0.2,"Zinck",0.574468085106383,0.666666666666667,47
"65126",200,100,0,26,0.2,"Zinck",0.0769230769230769,0.4,13
"65127",200,100,0,27,0.2,"Zinck",0.166666666666667,0.5,18
"65128",200,100,0,28,0.2,"Zinck",0.24,0.633333333333333,25
"65129",200,100,0,29,0.2,"Zinck",0.260869565217391,0.566666666666667,23
"65130",200,100,0,30,0.2,"Zinck",0.285714285714286,0.5,21
"65131",200,100,0,31,0.2,"Zinck",0.0909090909090909,0.666666666666667,22
"65132",200,100,0,32,0.2,"Zinck",0.575,0.566666666666667,40
"65133",200,100,0,33,0.2,"Zinck",0.272727272727273,0.533333333333333,22
"65134",200,100,0,34,0.2,"Zinck",0.25,0.5,20
"65135",200,100,0,35,0.2,"Zinck",0.25,0.5,20
"65136",200,100,0,36,0.2,"Zinck",0.457142857142857,0.633333333333333,35
"65137",200,100,0,37,0.2,"Zinck",0.117647058823529,0.5,17
"65138",200,100,0,38,0.2,"Zinck",0.535714285714286,0.866666666666667,56
"65139",200,100,0,39,0.2,"Zinck",0.269230769230769,0.633333333333333,26
"65140",200,100,0,40,0.2,"Zinck",0.285714285714286,0.5,21
"65141",200,100,0,41,0.2,"Zinck",0.125,0.466666666666667,16
"65142",200,100,0,42,0.2,"Zinck",0.36,0.533333333333333,25
"65143",200,100,0,43,0.2,"Zinck",0,0.266666666666667,8
"65144",200,100,0,44,0.2,"Zinck",0.318181818181818,0.5,22
"65145",200,100,0,45,0.2,"Zinck",0.0526315789473684,0.6,19
"65146",200,100,0,46,0.2,"Zinck",0,0.4,12
"65147",200,100,0,47,0.2,"Zinck",0.380952380952381,0.433333333333333,21
"65148",200,100,0,48,0.2,"Zinck",0.2,0.533333333333333,20
"65149",200,100,0,49,0.2,"Zinck",0.296296296296296,0.633333333333333,27
"65150",200,100,0,50,0.2,"Zinck",0.0454545454545455,0.7,22
"65151",200,100,0,51,0.2,"Zinck",0.3,0.7,30
"65152",200,100,0,52,0.2,"Zinck",0.0666666666666667,0.466666666666667,15
"65153",200,100,0,53,0.2,"Zinck",0.304347826086957,0.533333333333333,23
